total_time:0.01
dt:1e-06
c:188.49555921538757
n_atoms:4000
q:-9.0
time                 rho_0                std                 
0.00594000          3996.91396901       3.95734991          
0.00597000          3996.87628764       3.99611174          
0.00600000          3996.83827579       4.03519022          
0.00603000          3996.79993101       4.07458793          
0.00606000          3996.76125082       4.11430747          
0.00609000          3996.72223271       4.15435144          
0.00612000          3996.68287417       4.19472248          
0.00615000          3996.64317265       4.23542324          
0.00618000          3996.60312559       4.27645638          
0.00621000          3996.56273038       4.31782461          
0.00624000          3996.52198443       4.35953062          
0.00627000          3996.48088510       4.40157716          
0.00630000          3996.43942973       4.44396697          
0.00633000          3996.39761564       4.48670283          
0.00636000          3996.35544013       4.52978752          
0.00639000          3996.31290048       4.57322387          
0.00642000          3996.26999393       4.61701471          
0.00645000          3996.22671772       4.66116290          
0.00648000          3996.18306904       4.70567131          
0.00651000          3996.13904509       4.75054285          
0.00654000          3996.09464301       4.79578043          
0.00657000          3996.04985994       4.84138701          
0.00660000          3996.00469298       4.88736555          
0.00663000          3995.95913922       4.93371903          
0.00666000          3995.91319571       4.98045048          
0.00669000          3995.86685949       5.02756291          
0.00672000          3995.82012758       5.07505940          
0.00675000          3995.77299694       5.12294303          
0.00678000          3995.72546454       5.17121689          
0.00681000          3995.67752731       5.21988412          
0.00684000          3995.62918216       5.26894786          
0.00687000          3995.58042596       5.31841131          
0.00690000          3995.53125557       5.36827765          
0.00693000          3995.48166782       5.41855010          
0.00696000          3995.43165951       5.46923193          
0.00699000          3995.38122741       5.52032641          
0.00702000          3995.33036826       5.57183683          
0.00705000          3995.27907879       5.62376652          
0.00708000          3995.22735570       5.67611883          
0.00711000          3995.17519563       5.72889713          
0.00714000          3995.12259524       5.78210484          
0.00717000          3995.06955112       5.83574537          
0.00720000          3995.01605986       5.88982218          
0.00723000          3994.96211801       5.94433876          
0.00726000          3994.90772210       5.99929861          
0.00729000          3994.85286861       6.05470526          
0.00732000          3994.79755401       6.11056228          
0.00735000          3994.74177474       6.16687326          
0.00738000          3994.68552720       6.22364181          
